Ngày; close 
07/05/2019;877,02
08/05/2019;872,78
09/05/2019;871,5
10/05/2019;876,45
13/05/2019;879,64
14/05/2019;882,67
15/05/2019;893,22
16/05/2019;891,93
17/05/2019;890,53
20/05/2019;901,06
21/05/2019;901,36
22/05/2019;897,66
23/05/2019;895,07
24/05/2019;884,48
27/05/2019;889,2
28/05/2019;885,27
29/05/2019;883,52
30/05/2019;883,37
31/05/2019;876,29
03/06/2019;864,08
04/06/2019;864,35
05/06/2019;863,69
06/06/2019;861,31
07/06/2019;869,56
10/06/2019;872,49
11/06/2019;870,91
12/06/2019;865,42
13/06/2019;859,68
14/06/2019;861,65
17/06/2019;852,99
18/06/2019;848,17
19/06/2019;854,34
20/06/2019;864,59
21/06/2019;866,53
24/06/2019;868,94
25/06/2019;868,5
26/06/2019;866,81
27/06/2019;854,41
28/06/2019;864,24
01/07/2019;876,26
02/07/2019;872,92
03/07/2019;869,58
04/07/2019;879,72
05/07/2019;880,23
08/07/2019;870,92
09/07/2019;872,21
10/07/2019;876,12
11/07/2019;879,1
12/07/2019;874,99
15/07/2019;873,71
16/07/2019;880,91
17/07/2019;879,75
18/07/2019;870,81
19/07/2019;880,79
22/07/2019;879,62
23/07/2019;888,26
24/07/2019;887,39
25/07/2019;890,41
26/07/2019;887,84
29/07/2019;888,54
30/07/2019;877,92
31/07/2019;883,19
01/08/2019;887,39
02/08/2019;885,29
05/08/2019;872,39
06/08/2019;866,13
07/08/2019;868,27
08/08/2019;875,81
09/08/2019;878,62
12/08/2019;882,23
13/08/2019;877,97
14/08/2019;880,51
15/08/2019;890,78
16/08/2019;892,44
19/08/2019;891,78
20/08/2019;894,45
21/08/2019;900,54
22/08/2019;901,29
23/08/2019;900,53
26/08/2019;892,48
27/08/2019;886,91
28/08/2019;886,08
29/08/2019;889,13
30/08/2019;892,51
03/09/2019;888,97
04/09/2019;887,12
05/09/2019;886,1
06/09/2019;885,95
09/09/2019;885,61
10/09/2019;883,04
11/09/2019;885,52
12/09/2019;894,32
13/09/2019;905,05
16/09/2019;908,6
17/09/2019;912,38
18/09/2019;913,48
19/09/2019;918,88
20/09/2019;915,16
23/09/2019;909,98
24/09/2019;910,76
25/09/2019;912,42
26/09/2019;918,1
27/09/2019;924,83
30/09/2019;922,89
01/10/2019;926,31
02/10/2019;919,73
03/10/2019;921,7
04/10/2019;915,16
07/10/2019;907,5
08/10/2019;915,27
09/10/2019;914,54
10/10/2019;913,05
11/10/2019;916,68
14/10/2019;921,91
15/10/2019;923,27
16/10/2019;924,64
17/10/2019;919,1
18/10/2019;919,13
21/10/2019;914
22/10/2019;916,81
23/10/2019;919,61
24/10/2019;925,25
25/10/2019;927,05
28/10/2019;925,97
29/10/2019;923,97
30/10/2019;925,07
31/10/2019;922,68
01/11/2019;933,55
04/11/2019;940,25
05/11/2019;942,34
06/11/2019;942,38
07/11/2019;944,25
08/11/2019;944,7
11/11/2019;939,72
12/11/2019;939,82
13/11/2019;932,6
14/11/2019;928,44
15/11/2019;927,36
18/11/2019;920,95
19/11/2019;926,07
20/11/2019;917
21/11/2019;898,23
22/11/2019;892,31
25/11/2019;894,8
26/11/2019;897,5
27/11/2019;895,06
28/11/2019;885,7
29/11/2019;887,47
02/12/2019;875,1
03/12/2019;868,68
04/12/2019;883,56
05/12/2019;879,32
06/12/2019;880,43
09/12/2019;879,94
10/12/2019;873,16
11/12/2019;878,27
12/12/2019;884,8
13/12/2019;880,55
16/12/2019;876,65
17/12/2019;867,44
18/12/2019;863,16
19/12/2019;862,23
20/12/2019;868,37
23/12/2019;868,2
24/12/2019;869,88
25/12/2019;873,18
26/12/2019;872,07
27/12/2019;876,38
30/12/2019;880,29
31/12/2019;879,06
02/01/2020;886,88
03/01/2020;883,28
06/01/2020;872,34
07/01/2020;876,7
08/01/2020;865,18
09/01/2020;877,76
10/01/2020;885,52
13/01/2020;881,79
14/01/2020;884,77
15/01/2020;885,36
16/01/2020;891,96
17/01/2020;894,84
20/01/2020;897,4
21/01/2020;906,52
22/01/2020;909,09
30/01/2020;875,82
31/01/2020;848,63
03/02/2020;842,67
04/02/2020;845,52
05/02/2020;845,31
06/02/2020;862,86
07/02/2020;863,49
10/02/2020;852,87
11/02/2020;856,39
12/02/2020;863,23
13/02/2020;864,16
14/02/2020;865,86
17/02/2020;866,27
18/02/2020;861,71
19/02/2020;863,84
20/02/2020;871,4
21/02/2020;868,89
24/02/2020;837,4
25/02/2020;849,58
26/02/2020;841,68
27/02/2020;848,34
28/02/2020;831,97
02/03/2020;835,42
03/03/2020;837,99
04/03/2020;837,99
05/03/2020;839,12
06/03/2020;835,97
09/03/2020;782,85
10/03/2020;789,51
11/03/2020;758,16
12/03/2020;719,21
13/03/2020;716,65
16/03/2020;698,18
17/03/2020;699,73
18/03/2020;700,65
19/03/2020;679,55
20/03/2020;673,7
23/03/2020;632,86
24/03/2020;625,43
25/03/2020;652,31
26/03/2020;646,7
27/03/2020;642,23
30/03/2020;613,02
31/03/2020;610,76
01/04/2020;628,79
03/04/2020;649,15
06/04/2020;682,65
07/04/2020;693,61
08/04/2020;691,17
09/04/2020;697,85
10/04/2020;695,74
13/04/2020;706,37
14/04/2020;713,81
15/04/2020;722,8
16/04/2020;726,57
17/04/2020;734,98
20/04/2020;736,31
21/04/2020;706,65
22/04/2020;714,42
23/04/2020;717,49
24/04/2020;725,05
27/04/2020;719,66
28/04/2020;715,74
29/04/2020;715,33
